Id,Task,Item,Score,Answer
106-APACSadd,figurative 2,2,2,у него нет денег
106-APACSadd,figurative 2,3,2,"мечтает, не сосредотачивается"
106-APACSadd,figurative 2,4,2,счастлив
106-APACSadd,figurative 2,5,2,сожалеть
106-APACSadd,figurative 2,6,2,очень тяжелые
106-APACSadd,figurative 2,7,2,"неприятное воспоминание, которое тяжело забыть"
106-APACSadd,figurative 2,8,2,очень громкие
106-APACSadd,figurative 2,9,2,очень красивые
106-APACSadd,figurative 2,10,2,"нестриженые, неаккуратные"
106-APACSadd,figurative 2,11,2,"слышат все, подслушивают"
106-APACSadd,figurative 2,12,0,"не умеет делать что-то, как правило, свою работу"
106-APACSadd,figurative 2,13,2,много людей не ждет одного
106-APACSadd,figurative 2,14,2,"если что-то случилось, как правило будет несколько неприятностей"
106-APACSadd,figurative 2,15,2,"все хорошо, но что-то малое портит впечатление"
107-APACSadd,figurative 2,1,2,"не стал придираться к ней, сделал вид, что ее не заметил"
107-APACSadd,figurative 2,2,2,у моего брата никогда нет денег
107-APACSadd,figurative 2,3,2,"все время о чем-то думает, о чем-то мечтает, отвлекается"
107-APACSadd,figurative 2,4,2,вася просто счастлив
107-APACSadd,figurative 2,5,2,она будет сожалеть
107-APACSadd,figurative 2,6,2,бывают очень тяжелые сумки
107-APACSadd,figurative 2,7,2,некоторые воспоминания очень неприятны
107-APACSadd,figurative 2,8,1,"бывают голоса, которые невозможно не услышать; даже когда человек тихо говорит, а его все равно слышно"
107-APACSadd,figurative 2,9,2,просто идеальны по всем параметрам
107-APACSadd,figurative 2,10,2,небрежная прическа
107-APACSadd,figurative 2,11,2,любой секрет может быть услышан кем-то другим
107-APACSadd,figurative 2,12,2,"человек, который обладает каким-то знанием, но не применяет в своей жизни по каким-то обстоятельствам"
107-APACSadd,figurative 2,13,2,"большое количество людей не будут ждать одного человека, чтобы начать дело, ради которого они собрались"
107-APACSadd,figurative 2,14,2,плохие новости несут еще какие-то плохие новости
107-APACSadd,figurative 2,15,2,"когда все хорошо, но что-то все равно портит настроение/качество продукта; есть в чем-то изъян"
108-APACSadd,figurative 2,1,2,"забил на проблему
"
108-APACSadd,figurative 2,2,2,у него нету денег
108-APACSadd,figurative 2,3,2,ученик в своих мыслях
108-APACSadd,figurative 2,4,2,вася очень счастлив
108-APACSadd,figurative 2,5,1,сделка может провалиться
108-APACSadd,figurative 2,6,2,тяжелые
108-APACSadd,figurative 2,7,2,слишком въедчивые
108-APACSadd,figurative 2,8,2,громкие и звонкие
108-APACSadd,figurative 2,9,1,слишком стройные
108-APACSadd,figurative 2,10,2,многие за собой не следят
108-APACSadd,figurative 2,11,2,"правда всегда всплывает, либо кто-то подслушивает"
108-APACSadd,figurative 2,12,0,неумелый
108-APACSadd,figurative 2,13,2,когда дело нельзя отлагать
108-APACSadd,figurative 2,14,2,трудности всегда идут друг за другом
108-APACSadd,figurative 2,15,2,даже маленькая песчинка может что-то испортить
109-APACSadd,figurative 2,1,2,"не обратил внимание, специально"
109-APACSadd,figurative 2,2,2,никогда нет денег
109-APACSadd,figurative 2,3,2,"отвлекается, думает о чем-то своем"
109-APACSadd,figurative 2,4,2,вася очень рад
109-APACSadd,figurative 2,5,2,марина будет сильно огорчена
109-APACSadd,figurative 2,6,2,бывают очень тяжелые сумки
109-APACSadd,figurative 2,7,2,от некоторых воспоминаний очень тяжело отделаться
109-APACSadd,figurative 2,8,2,"очень громкие, звучные голоса"
109-APACSadd,figurative 2,9,2,"очень красивые, смазливенькие"
109-APACSadd,figurative 2,10,2,"очень густые, плохо сделанные"
109-APACSadd,figurative 2,11,2,"никогда нельзя быть уверенным, что даже в пустой комнате тебя не могут подслушать"
109-APACSadd,figurative 2,12,2,"человек, который что-то умеет делать, но этого у него нет"
109-APACSadd,figurative 2,13,2,"то и значит, не стоит большой компанией одного человека"
109-APACSadd,figurative 2,14,2,одна неприятность ведет за собой череду других неприятностей
109-APACSadd,figurative 2,15,2,даже в чем-то хорошем есть что-то свое плохое
110-APACSadd,figurative 2,1,1,"не воспринял это как что-то серьезное, подлежащее наказанию"
110-APACSadd,figurative 2,2,2,"всегда не хватает денег, транжирит"
110-APACSadd,figurative 2,3,2,"невнимательный, уходит в фантазии, не сосредоточен"
110-APACSadd,figurative 2,4,2,он очень счастлив из-за повышения
110-APACSadd,figurative 2,5,2,будет жалеть об упущенных возможностях
110-APACSadd,figurative 2,6,2,тяжелые
110-APACSadd,figurative 2,7,2,"трудно отделаться от этих воспоминаний, вызывают неприятные ощущения"
110-APACSadd,figurative 2,8,2,очень громкие
110-APACSadd,figurative 2,9,2,"двоякий смысл, красивые, но пустые"
110-APACSadd,figurative 2,10,2,очень густые
110-APACSadd,figurative 2,11,2,"вас могут услышать, аккуратнее с высказываниями, даже в отсутствие людей вокруг"
110-APACSadd,figurative 2,12,2,"человек что-то делает, но сам себя этим обеспечить не может"
110-APACSadd,figurative 2,13,2,решает большинство
110-APACSadd,figurative 2,14,2,за одним событием возможно последуют остальные такие же
110-APACSadd,figurative 2,15,2,"маленькая неприятность, негативный момент в общей положительной ситуации"
111-APACSadd,figurative 2,1,2,проигнорировал
111-APACSadd,figurative 2,2,2,"без денег
"
111-APACSadd,figurative 2,3,2,рассеян
111-APACSadd,figurative 2,4,2,счастлив
111-APACSadd,figurative 2,5,2,будет сожалеть
111-APACSadd,figurative 2,6,2,тяжелые
111-APACSadd,figurative 2,7,2,"невозможно избавиться, причиняют боль"
111-APACSadd,figurative 2,8,2,"звонкие, громкие"
111-APACSadd,figurative 2,9,2,красивые
111-APACSadd,figurative 2,10,2,неопрятные
111-APACSadd,figurative 2,11,0,"никогда не знаешь, где находится проблема"
111-APACSadd,figurative 2,12,0,"человек, работающий по профессии, не владеет своими профессиональными навыками"
111-APACSadd,figurative 2,13,1,"несправедливо, когда за опоздание одного страдает много людей"
111-APACSadd,figurative 2,14,2,"неприятности чаще случаются в количестве больше, чем одна"
111-APACSadd,figurative 2,15,2,в чем-то хорошем всегда есть что-то плохое
112-APACSadd,figurative 2,1,2,"сделал вид, что не заметил"
112-APACSadd,figurative 2,2,2,всегда нет денег
112-APACSadd,figurative 2,3,2,"мечтатель, невнимательный"
112-APACSadd,figurative 2,4,2,счастлив
112-APACSadd,figurative 2,5,2,пожалеет еще
112-APACSadd,figurative 2,6,2,очень тяжелые
112-APACSadd,figurative 2,7,2,вызывают сильные эмоции
112-APACSadd,figurative 2,8,2,"очень громкие, зычные"
112-APACSadd,figurative 2,9,1,с точеной фигуркой
112-APACSadd,figurative 2,10,1,что-то невообразимое на голове
112-APACSadd,figurative 2,11,2,"говорите так, подразумевая, что вас могут услышать"
112-APACSadd,figurative 2,12,0,"работает по специальности, но не может сделать то, чему обучен заниматься"
112-APACSadd,figurative 2,13,2,компания не ждет одного опоздавшего
112-APACSadd,figurative 2,14,2,"если начались проблемы, то они косяком идут"
112-APACSadd,figurative 2,15,2,"любое хорошее дело можно испортить каким-либо маленьким, непродуктивным действием"
113-APACSadd,figurative 2,1,2,не обратил внимания
113-APACSadd,figurative 2,2,2,нет денег никогда
113-APACSadd,figurative 2,3,2,"не слушает, занят сам собой"
113-APACSadd,figurative 2,4,2,счастлив
113-APACSadd,figurative 2,5,2,расстроится
113-APACSadd,figurative 2,6,2,очень тяжелые сумки
113-APACSadd,figurative 2,7,2,"плохие, ужасные"
113-APACSadd,figurative 2,8,2,"громкие, звонкие"
113-APACSadd,figurative 2,9,2,очень красивые
113-APACSadd,figurative 2,10,2,"неопрятные, некрасивые"
113-APACSadd,figurative 2,11,2,"подслушивают все везде, могут узнать свои секреты"
113-APACSadd,figurative 2,12,2,"человек в профессии и не имеет того, чем занимается"
113-APACSadd,figurative 2,13,1,"если ты не успел, тебя никто не ждет, допустим, группа, один остался, не доделал, тебя никто ждать не будет"
113-APACSadd,figurative 2,14,1,"бывает такое, все навалилось"
113-APACSadd,figurative 2,15,2,"все хорошо, но какая-то маленькая мелочь все портит"
114-APACSadd,figurative 2,1,2,ей все равно
114-APACSadd,figurative 2,2,0,не знает
114-APACSadd,figurative 2,3,2,не сконцентрирован
114-APACSadd,figurative 2,4,2,счастлив
114-APACSadd,figurative 2,5,2,переживать
114-APACSadd,figurative 2,6,2,тяжелые
114-APACSadd,figurative 2,7,2,"незабываемые, неприятные"
114-APACSadd,figurative 2,8,0,"не понимает, что значит"
114-APACSadd,figurative 2,9,2,красивые
114-APACSadd,figurative 2,10,2,"лохматые
"
114-APACSadd,figurative 2,11,1,"нам так тренер говорит, чтобы мы ничего не уносили"
114-APACSadd,figurative 2,12,0,"бедный, наверное"
114-APACSadd,figurative 2,13,2,не ждут много человек одного
114-APACSadd,figurative 2,14,2,за бедой будет еще несколько проблем
114-APACSadd,figurative 2,15,0,не знаю
115-APACSadd,figurative 2,1,2,решил не обращать внимание
115-APACSadd,figurative 2,2,2,"у него всегда нет денег, или недостаточно денег"
115-APACSadd,figurative 2,3,1,"не очень усердный, не занимается"
115-APACSadd,figurative 2,4,2,счастлив очень
115-APACSadd,figurative 2,5,2,"досадовать о чем-то, каком-то прошедшем событии"
115-APACSadd,figurative 2,6,2,очень тяжелые
115-APACSadd,figurative 2,7,2,"постоянно досаждающие, причиняющие боль"
115-APACSadd,figurative 2,8,2,"очень громкие, видимо"
115-APACSadd,figurative 2,9,2,красавицы
115-APACSadd,figurative 2,10,2,"непричесанные, взъерошенные, шевелюры"
115-APACSadd,figurative 2,11,2,"всегда кто-то может подслушать, что говоришь; все становится явным"
115-APACSadd,figurative 2,12,0,"не специалист своего дела, даже в своем деле не специалист"
115-APACSadd,figurative 2,13,2,не следует ждать одного человека всей компанией
115-APACSadd,figurative 2,14,2,черная полоса; тревожные события следуют по цепочке одно за другим
115-APACSadd,figurative 2,15,2,неприятный нюанс в чем-то хорошем
116-APACSadd,figurative 2,1,2,не обратил внимание
116-APACSadd,figurative 2,2,2,испытывает финансовые трудности
116-APACSadd,figurative 2,3,2,теряет концентрацию внимания
116-APACSadd,figurative 2,4,2,"вася испытывает сильные положительные эмоции, из-за которых он перестает обращать внимание на окружающую действительность"
116-APACSadd,figurative 2,5,0,завидовать
116-APACSadd,figurative 2,6,2,"очень тяжелые сумки
"
116-APACSadd,figurative 2,7,2,не стираются из памяти и доставляют неприятные эмоции
116-APACSadd,figurative 2,8,2,очень звонкие голоса
116-APACSadd,figurative 2,9,1,просто очень разукрашенные
116-APACSadd,figurative 2,10,2,густые прически
116-APACSadd,figurative 2,11,0,"кто-то может слушать через стены
"
116-APACSadd,figurative 2,12,1,"бедный, о всех заботится кроме себя, сам чинит всем сапоги, а у самого сапог нет
"
116-APACSadd,figurative 2,13,2,"большинство не должно ждать меньшинство
"
116-APACSadd,figurative 2,14,2,"закон парных случаев; случается несчастье, и за ним следует еще одно несчастье"
116-APACSadd,figurative 2,15,2,"вроде бы все хорошо, но есть неприятный осадок"
117-APACSadd,figurative 2,1,2,"не стал обращать внимание на поведение, не обратил внимание"
117-APACSadd,figurative 2,2,2,у моего брата нет денег
117-APACSadd,figurative 2,3,2,рассеянный
117-APACSadd,figurative 2,4,2,вася очень рад
117-APACSadd,figurative 2,5,0,будет чувствовать угрызения совести
117-APACSadd,figurative 2,6,2,"очень тяжелые
"
117-APACSadd,figurative 2,7,2,у человека есть неприятные воспоминания
117-APACSadd,figurative 2,8,2,звонкие голоса
117-APACSadd,figurative 2,9,2,очень красивые
117-APACSadd,figurative 2,10,2,"неаккуратные прически, нестриженные"
117-APACSadd,figurative 2,11,2,"не стоит раскрывать секреты, все подслушают, все узнают"
117-APACSadd,figurative 2,12,0,"когда есть изъяны в своей работе, например, учитель английского языка, допустим, на детей не хватает времени"
117-APACSadd,figurative 2,13,2,чтобы не опаздывали; не опаздывать
117-APACSadd,figurative 2,14,1,"всегда за чем-то не приходит что-то плохое однократно, обязательно что-то происходит в совокупности"
117-APACSadd,figurative 2,15,1,есть обязательно один человек который против
118-APACSadd,figurative 2,1,2,не обратил внимание специально
118-APACSadd,figurative 2,2,2,у брата всегда нет денег
118-APACSadd,figurative 2,3,2,постоянно мечтает
118-APACSadd,figurative 2,4,2,очень рад повышению
118-APACSadd,figurative 2,5,2,"будет переживать из-за нее, расстраиваться"
118-APACSadd,figurative 2,6,2,очень тяжелые сумки бывают
118-APACSadd,figurative 2,7,2,"неприятные, и сложно избавиться от них"
118-APACSadd,figurative 2,8,2,"очень громкие, зычные"
118-APACSadd,figurative 2,9,2,"очень тонкие, стройные; а может, и красивые"
118-APACSadd,figurative 2,10,2,спутанные
118-APACSadd,figurative 2,11,2,кто-то может подслушать всегда
118-APACSadd,figurative 2,12,2,"сам чем-то человек занимается, а самого этого у человека нет"
118-APACSadd,figurative 2,13,2,"не надо опаздывать, когда собирается много людей"
118-APACSadd,figurative 2,14,2,"если что-то плохое случится, скорее всего потом случится еще что-то плохое"
118-APACSadd,figurative 2,15,2,"одна незначительная неприятная деталь может испортить общее положительное впечатление о чем-то
"
119-APACSadd,figurative 2,1,1,"отпустил ее, пропустил мимо ушей, забил"
119-APACSadd,figurative 2,2,2,у него никогда нет денег
119-APACSadd,figurative 2,3,1,фантазер
119-APACSadd,figurative 2,4,2,вася очень счастлив
119-APACSadd,figurative 2,5,1,еще поплатится за это
119-APACSadd,figurative 2,6,2,очень тяжелые сумки
119-APACSadd,figurative 2,7,2,"острые воспоминания, имеют эмоциональный отклик в голове, засели"
119-APACSadd,figurative 2,8,2,"очень громкие голоса
"
119-APACSadd,figurative 2,9,2,очень красивые
119-APACSadd,figurative 2,10,2,"очень длинные волосы, неряшливые"
119-APACSadd,figurative 2,11,2,"подслушать может каждый, из самого неожиданного места"
119-APACSadd,figurative 2,12,0,"человек, который много ругается"
119-APACSadd,figurative 2,13,2,"большинство всегда уйдет без одного человека, так как не имеет смысла ждать; неуважительно по отношению к большинству"
119-APACSadd,figurative 2,14,2,от одной беды может произойти еще больше
119-APACSadd,figurative 2,15,2,"какое-то маленькое событие, которое испортило все, что было хорошее"
120-APACSadd,figurative 2,1,0,"устал уже от особ такого поведения, устал"
120-APACSadd,figurative 2,2,2,у него нет никогда денег
120-APACSadd,figurative 2,3,2,мечтатель
120-APACSadd,figurative 2,4,2,"восторг, радость"
120-APACSadd,figurative 2,5,2,"обидно стало марине, станет"
120-APACSadd,figurative 2,6,2,очень тяжелые сумки
120-APACSadd,figurative 2,7,2,"больные, плохие; болезненные"
120-APACSadd,figurative 2,8,2,ну очень сильный голос
120-APACSadd,figurative 2,9,2,выглядят очень красиво
120-APACSadd,figurative 2,10,1,оригинальные прически
120-APACSadd,figurative 2,11,2,ничего не скроешь
120-APACSadd,figurative 2,12,1,"несчастный, есть у него несчастье в этом
"
120-APACSadd,figurative 2,13,1,ненавижу опоздания
120-APACSadd,figurative 2,14,2,"если начинаются проблемы, то идут прям скопом"
120-APACSadd,figurative 2,15,2,"человеческое несовершенство; даже если все хорошо, что-нибудь да будет плохо, на сто процентов не будет идеал"
121-APACSadd,figurative 2,1,2,не обратил внимание
121-APACSadd,figurative 2,2,2,без денег
121-APACSadd,figurative 2,3,2,"сидит мечтает, ничего не делает, мечтатель"
121-APACSadd,figurative 2,4,2,от радости что повысили
121-APACSadd,figurative 2,5,2,будет жалеть
121-APACSadd,figurative 2,6,2,тяжелые
121-APACSadd,figurative 2,7,2,тяжелые воспоминания
121-APACSadd,figurative 2,8,0,простуженные
121-APACSadd,figurative 2,9,1,хорошо одеты
121-APACSadd,figurative 2,10,2,густые волосы
121-APACSadd,figurative 2,11,2,когда подслушивают
121-APACSadd,figurative 2,12,1,"например, шьет обувь, а сам ходит без обуви"
121-APACSadd,figurative 2,13,2,"опаздывает если, пусть идет своим путем, а они идут куда надо"
121-APACSadd,figurative 2,14,2,"одна беда случилась, и другая может случиться, или заблеют или еще что"
121-APACSadd,figurative 2,15,2,"например, что-то хорошее, и обязательно найдется немножечко плохого"
122-APACSadd,figurative 2,1,2,"проигнорировал
"
122-APACSadd,figurative 2,2,2,"вечно ничего нету, все истратил"
122-APACSadd,figurative 2,3,2,думает о своем
122-APACSadd,figurative 2,4,2,"рад, счастлив"
122-APACSadd,figurative 2,5,2,разочарование какое-то
122-APACSadd,figurative 2,6,2,тяжелые
122-APACSadd,figurative 2,7,0,"в душу запали, добрые"
122-APACSadd,figurative 2,8,1,грубые
122-APACSadd,figurative 2,9,2,красивые
122-APACSadd,figurative 2,10,2,лохматые
122-APACSadd,figurative 2,11,2,"осторожно надо, чтобы тайну не выдал"
122-APACSadd,figurative 2,12,0,"лодырь, лентяй, расхлябанный"
122-APACSadd,figurative 2,13,2,надо быстро собираться
122-APACSadd,figurative 2,14,2,"не везет челвеку, постоянные какие-то неурядицы, невезуха"
122-APACSadd,figurative 2,15,2,одна неприятность портит жизнь
123-APACSadd,figurative 2,1,2,проигнорировал ее поведение
123-APACSadd,figurative 2,2,2,у моего брата всегда нет денег
123-APACSadd,figurative 2,3,2,этот ученик постоянно погружен в свои мысли
123-APACSadd,figurative 2,4,2,вася очень рад своему повышению
123-APACSadd,figurative 2,5,2,из-за этой сделки марина потом расстроится
123-APACSadd,figurative 2,6,2,бывают очень тяжелые сумки
123-APACSadd,figurative 2,7,2,некоторые воспоминания очень болезненные
123-APACSadd,figurative 2,8,2,бывают очень громкие голоса
123-APACSadd,figurative 2,9,2,есть очень красивые манекенщицы
123-APACSadd,figurative 2,10,2,прически у некоторых очень неряшливые
123-APACSadd,figurative 2,11,2,любую информацию можно подслушать
123-APACSadd,figurative 2,12,1,"когда человек должен свою профессию хорошо выполнять, но при этом с ней не справляется"
123-APACSadd,figurative 2,13,2,люди не должны терять время из-за невнимательности одного человека
123-APACSadd,figurative 2,14,2,"если начались неприятности, их всегда происходит много, черная полоса
"
123-APACSadd,figurative 2,15,2,"что-то, что портит всю картину"
124-APACSadd,figurative 2,1,2,не обратил внимание на ее поведение
124-APACSadd,figurative 2,2,2,у моего брата никогда не бывает денег
124-APACSadd,figurative 2,3,2,этот ученик постоянно в мечтах
124-APACSadd,figurative 2,4,2,вася очень рад повышению
124-APACSadd,figurative 2,5,2,марина еще пожалеет
124-APACSadd,figurative 2,6,2,бывают очень тяжелые сумки
124-APACSadd,figurative 2,7,2,некоторые воспоминания очень болезненны
124-APACSadd,figurative 2,8,2,бывают очень громкие голоса
124-APACSadd,figurative 2,9,2,есть очень красивые манекенщицы
124-APACSadd,figurative 2,10,0,взлохмаченные? не знаю
124-APACSadd,figurative 2,11,2,вас могут всегда услышать
124-APACSadd,figurative 2,12,2,"у любого человека иногда не бывает того, что он производит"
124-APACSadd,figurative 2,13,2,что компания одного опоздавшего не ждет
124-APACSadd,figurative 2,14,2,"если на тебя свалилась одна беда, жди другую"
124-APACSadd,figurative 2,15,2,"когда есть что-то хорошее, обязательно бывает хоть маленькая, но гадость"
